#Types Before Cut: 11091
#Types After Cut: 9674
#Search Hits: 0
243	17	33.587	пошла
244	15	32.966	будешь
245	15	32.966	минуты
246	15	32.966	понял
247	15	32.966	поняла
248	28	32.874	таки
249	34	32.818	голос
250	24	32.669	принципе
251	18	32.421	дом
252	49	32.287	всегда
253	36	32.155	две
254	12	31.865	берег
255	12	31.865	весело
256	12	31.865	детстве
257	12	31.865	квартиру
258	12	31.865	круто
259	12	31.865	любят
260	12	31.865	поговорить
261	12	31.865	пятьдесят
262	12	31.865	смешно
263	20	31.168	дочка
264	16	31.161	школа
265	16	31.161	языке
266	27	30.943	жизнь
267	21	30.856	язык
268	25	30.667	татьяна
269	113	30.624	даже
270	14	30.444	домой
271	17	30.082	давайте
272	18	29.399	фильм
273	11	29.210	inan
274	11	29.210	давали
275	11	29.210	девочки
276	11	29.210	девяносто
277	11	29.210	здорово
278	11	29.210	знала
279	11	29.210	классно
280	11	29.210	кхм
281	11	29.210	понимаешь
282	11	29.210	расскажу
283	11	29.210	рассказчик
284	11	29.210	смеётся
285	11	29.210	смотри
286	11	29.210	соседка
287	11	29.210	училась
288	11	29.210	холодно
289	26	29.035	самое
290	19	28.969	зачем
291	19	28.969	младший
292	15	28.748	играть
293	21	28.585	жить
294	156	28.447	или
295	13	27.931	концерт
296	13	27.931	семья
297	13	27.931	ходить
298	13	27.931	честно
299	26	27.401	смысле
300	17	27.156	моей
301	18	26.793	понимаю
302	22	26.612	какую
303	22	26.612	часов
304	19	26.595	слово
305	10	26.554	бывают
306	10	26.554	вкус
307	10	26.554	восемьдесят
308	10	26.554	дед
309	10	26.554	дедушка
310	10	26.554	ехать
311	10	26.554	забыл
312	10	26.554	иии
313	10	26.554	картинка
314	10	26.554	кашель
315	10	26.554	нуу
316	10	26.554	озеро
317	10	26.554	пол
318	10	26.554	прикольно
319	10	26.554	ребята
320	10	26.554	своё
321	10	26.554	слушай
322	10	26.554	смешок
323	10	26.554	собака
324	10	26.554	ушёл
325	21	26.530	хоть
326	14	26.351	собственно
327	27	26.189	моя
328	39	25.538	людей
329	15	25.459	ж
330	12	25.430	вдруг
331	12	25.430	делаю
332	12	25.430	купил
333	50	24.941	день
334	16	24.935	видео
335	16	24.935	читать
336	35	24.656	четыре
337	18	24.501	тему
338	19	24.475	н
339	29	24.268	старший
340	13	23.972	какими
341	13	23.972	маленький
342	13	23.972	машина
343	13	23.972	смотреть
344	9	23.899	n
345	9	23.899	ар
346	9	23.899	видишь
347	9	23.899	грустный
348	9	23.899	двенадцать
349	9	23.899	двести
350	9	23.899	кошки
351	9	23.899	переехали
352	9	23.899	подожди
353	9	23.899	смесь
354	9	23.899	танцами
355	9	23.899	твой
356	9	23.899	учителя
357	9	23.899	чай
358	9	23.899	эмм
359	27	23.464	каждый
360	14	23.180	d
361	14	23.180	мои
362	14	23.180	хотелось
363	11	22.942	кадра
364	11	22.942	квартире
365	21	22.938	долго
366	20	22.728	места
367	146	22.555	был
368	16	22.514	девять
369	18	22.462	русский
370	17	22.436	кем
371	27	22.213	слова
372	29	21.914	сама
373	12	21.614	нравятся
374	30	21.284	чего
375	36	21.274	одна
376	8	21.243	acc
377	8	21.243	komm
378	8	21.243	nom
379	8	21.243	ааa
380	8	21.243	английский
381	8	21.243	брови
382	8	21.243	вертолет
383	8	21.243	говорящийа
384	8	21.243	говорящийб
385	8	21.243	грустно
386	8	21.243	делаешь
387	8	21.243	егэ
388	8	21.243	замечательно
389	8	21.243	звук
390	8	21.243	иду
391	8	21.243	интересного
392	8	21.243	колесико
393	8	21.243	любишь
394	8	21.243	лёва
395	8	21.243	мамой
396	8	21.243	мемы
397	8	21.243	моих
398	8	21.243	надя
399	8	21.243	неудобно
400	8	21.243	никит
401	8	21.243	одиннадцать
402	8	21.243	поехал
403	8	21.243	прихожу
404	8	21.243	смотрел
405	8	21.243	смотрела
406	8	21.243	типо
407	8	21.243	учился
408	8	21.243	учится
409	8	21.243	хе
410	8	21.243	эт
411	20	21.077	друг
412	13	20.926	бывает
413	13	20.926	говорила
414	13	20.926	специально
415	19	20.832	павел
416	40	20.736	говорить
417	14	20.570	вещи
418	14	20.570	надеюсь
419	10	20.468	интересные
420	10	20.468	рассказывала
421	28	20.363	совсем
422	11	19.279	будто
423	11	19.279	знаете
424	11	19.279	отец
425	19	19.250	хотел
426	12	18.701	делали
427	12	18.701	купить
428	12	18.701	семье
429	7	18.588	бабушкой
430	7	18.588	боже
431	7	18.588	буквы
